Country,Internet_users,Population
Marshall Islands,10709,53069
Timor-Leste,14030,1211245
Kiribati,14724,114405
Micronesia,32749,104966
Monaco,35196,37863
Liechtenstein,36183,37776
Saint Kitts and Nevis,37210,56183
Greenland,37899,56196
Grenada,41675,107327
Cayman Islands,45038,60764
Faeroe Islands,47515,48239
Dominica,48249,73016
Sao Tome and Principe,49686,194390
Tonga,49822,106915
Seychelles,56168,97026
Samoa,56373,194523
Eritrea,56728,5351680
United States Virgin Islands,57485,106415
Solomon Islands,58423,594934
Comoros,59242,807118
Bermuda,60047,61662
Antigua and Barbuda,60306,92738
St. Vincent & Grenadines,65984,109644
Guinea-Bissau,66284,1888429
Andorra,66728,69165
Vanuatu,82764,270470
Aruba,91532,104263
Djibouti,105163,899598
Saint Lucia,109370,186383
Guam,124717,172094
Sierra Leone,160188,6592102
Belize,165014,366942
Burundi,167512,11552561
Equatorial Guinea,181657,869587
Gabon,182309,1763142
French Polynesia,182442,285735
New Caledonia,186502,266431
Somalia,192775,11079013
Maldives,198071,369812
Cabo Verde,224183,526993
Central African Republic,224432,4998493
Barbados,228717,285006
Suriname,231420,547610
Guinea,236932,12947122
Bhutan,289177,784103
Guyana,305007,770610
Brunei,310205,428874
Iceland,331778,331778
Bahamas,333143,392718
Malta,334056,419615
Gambia,346471,2054986
Congo,357471,4740992
Swaziland,362921,1304063
Chad,387063,14496739
Montenegro,388057,626101
Namibia,392181,2513981
Liberia,395063,4615222
Fiji,419958,897537
Macao,433752,597126
Niger,439164,20715285
Lesotho,444376,2160309
Botswana,492787,2303820
Mauritius,543048,1277459
Togo,545020,7496833
Luxembourg,548807,576243
Benin,628683,11166658
Mauritania,714132,4166463
Turkmenistan,789151,5438670
Cyprus,844680,1176598
Papua New Guinea,906695,7776115
Trinidad and Tobago,942713,1364973
Madagascar,1066397,24915822
Mongolia,1069693,3006444
Laos,1087567,6918367
Malawi,1160839,17749826
Nicaragua,1194337,6150035
Estonia,1196521,1309104
Jamaica,1216098,2803362
Bahrain,1278752,1396829
Haiti,1308290,10848175
Libya,1335705,6330159
Myanmar,1353649,54363426
TFYR Macedonia,1439089,2081012
Rwanda,1478216,11882766
Slovenia,1490358,2069362
Latvia,1491951,1955742
Armenia,1510906,3026048
Tajikistan,1622924,8669464
Cambodia,1756824,15827241
Honduras,1757467,8189501
Panama,1803261,3990406
Albania,1823233,2903700
Mozambique,1834337,28751362
Burkina Faso,1894498,18633725
Moldova,1946111,4062862
Kyrgyzstan,2076220,6033769
Georgia,2104906,3979781
Qatar,2108970,2291368
South Sudan,2179963,12733427
Lithuania,2199938,2850030
Mali,2212450,18134835
Uruguay,2238991,3444071
Afghanistan,2279167,33369945
Bosnia and Herzegovina,2343255,3802134
El Salvador,2352849,6146419
Costa Rica,2738500,4857218
Tanzania,2895662,55155473
State of Palestine,3007869,4797239
Puerto Rico,3047311,3680772
DR Congo,3101210,79722624
Croatia,3133485,4225001
Paraguay,3149519,6725430
Zambia,3167934,16717332
Kuwait,3202110,4007146
Oman,3310260,4654471
Zimbabwe,3356223,15966810
Jordan,3536871,7747800
Senegal,3647939,15589485
Cuba,3696765,11392889
Ireland,3817392,4713993
New Zealand,4078993,4565185
Bulgaria,4155050,7097796
Ethiopia,4288023,101853268
Cameroon,4311178,23924407
Guatemala,4409997,16672956
Slovakia,4477641,5429418
Bolivia,4478400,10888402
Lebanon,4545007,5988153
Singapore,4699204,5696506
Serbia,4758861,8812705
Iraq,4892463,37547686
Nepal,4962323,28850717
Finland,5107402,5523904
C?te d'Ivoire,5122897,23254184
Norway,5167573,5271958
Hong Kong,5442101,7346248
Tunisia,5472618,11375220
Denmark,5479054,5690750
Syria,5502250,18563595
Dominican Republic,5513852,10648613
Belarus,5786572,9481521
Israel,5941174,8192463
Angola,5951453,25830958
Azerbaijan,6027647,9868447
Sri Lanka,6087164,20810816
Yemen,6773228,27477600
Portugal,6930762,10304434
Austria,6953400,8569633
Ecuador,7055575,16385450
Greece,7072534,10919459
Switzerland,7302714,8379477
Uganda,7645197,40322768
Hungary,7874733,9821318
Algeria,7937913,40375954
Ghana,7958675,28033375
United Arab Emirates,8515420,9266971
Sweden,9169705,9851852
Czech Republic,9323428,10548058
Kazakhstan,9961519,17855384
Belgium,10060745,11371928
Sudan,10886813,41175541
Romania,11236186,19372734
Peru,13036965,31774225
Chile,14108392,18131850
Uzbekistan,15453227,30300446
Netherlands,15915076,16979729
Venezuela,18254349,31518855
Ukraine,19678089,44624373
Morocco,20068556,34817065
Australia,20679490,24309330
Saudi Arabia,20813695,32157974
Malaysia,21090777,30751602
Kenya,21248977,47251449
Bangladesh,21439070,162910864
Colombia,27664747,48654392
Poland,27922152,38593161
South Africa,28580290,54978907
Thailand,29078158,68146609
Argentina,30359855,43847277
Egypt,30835256,93383574
Canada,32120519,36286378
Pakistan,34342400,192826502
Spain,37865104,46064604
Iran,39149103,80043146
Italy,39211518,59801004
South Korea,43274132,50503933
Philippines,44478808,102250133
Turkey,46196720,79622062
Viet Nam,49063762,94444200
Indonesia,53236719,260581100
France,55860330,64668129
Mexico,58016997,128632004
U.K.,60273385,65111143
Germany,71016605,80682351
Nigeria,86219965,186987563
Russia,102258256,143439832
Japan,115111595,126323715
Brazil,139111185,209567920
U.S.,286942362,324118787
India,462124989,1326801576
China,721434547,1382323332
