slug;fullname
design-thinking-entrepreneurs;Innovation & Entrepreneurship - From Design Thinking to Funding
open-innovation-entrepreneurship;Innovation & Entrepreneurship - From Basics to Open Innovation
real-time-systems;Development of Real-Time Systems
quantitative-formal-modeling-1;Quantitative Formal Modeling and Worst-Case Performance Analysis
impact-of-technology;The Impact of Technology
automata-system-validation;System Validation: Automata and behavioural equivalences
iot-devices;Introduction to Architecting Smart IoT Devices
requirements-modal-formulas;System Validation (3): Requirements by modal formulas
system-validation-behavior;System Validation (2): Model process behaviour
iot-modeling-software-protocols;System Validation (4): Modelling Software, Protocols, and other behaviour
iot-architecture;Architecting Smart IoT Devices
iot-software-architecture;Software Architecture for the Internet of Things
iot-connectivity-security;Web Connectivity and Security in Embedded Systems
parallelism;Instruction Level Parallelism, Data Level Parallelism, and Thread Level Parallelism
computer-architecture-fundamentals;Fundamentals of Computer Architecture
embedded-operating-system;Embedded Hardware and Operating Systems
quantitative-model-checking;Quantitative Model Checking
